,CODIGO_PROYECTO,AÑO,MES,CANT. GDP,CANT. VCO,TOTAL. GDP,TOTAL. VCO,TOTAL. VCO - GDP,TOTAL,TIPO_CUENTA
46,TOTAL,2023,5,800.0,160715.0,8533707.0,174983604.0,166449897.0,166449897.0,COSTO MATERIALES
,CODIGO_PROYECTO,AÑO,MES,CANT. GDP,CANT. VCO,TOTAL. GDP,TOTAL. VCO,TOTAL. VCO - GDP,TOTAL,TIPO_CUENTA
0,P-1592,2023,5,1.0,0.0,51537.0,0.0,-51537.0,-51537.0,COSTO MATERIALES
1,P-1632,2023,5,15.0,0.0,75965.0,0.0,-75965.0,-75965.0,COSTO MATERIALES
2,P-1643,2023,5,0.0,2.0,0.0,330968.0,330968.0,330968.0,COSTO MATERIALES
3,P-1645,2023,5,2.0,0.0,19980.0,0.0,-19980.0,-19980.0,COSTO MATERIALES
4,P-1649,2023,5,1.0,0.0,36183.0,0.0,-36183.0,-36183.0,COSTO MATERIALES
5,P-1656,2023,5,3.0,0.0,11250.0,0.0,-11250.0,-11250.0,COSTO MATERIALES
6,P-1660,2023,5,1.0,0.0,6045.0,0.0,-6045.0,-6045.0,COSTO MATERIALES
7,P-1666,2023,5,0.0,3.0,0.0,89550.0,89550.0,89550.0,COSTO MATERIALES
8,P-1667,2023,5,0.0,513.0,0.0,90852.0,90852.0,90852.0,COSTO MATERIALES
9,P-1669,2023,5,7.0,0.0,245707.0,0.0,-245707.0,-245707.0,COSTO MATERIALES
10,P-1672,2023,5,71.0,67.0,331943.0,880835.0,548892.0,548892.0,COSTO MATERIALES
11,P-1676,2023,5,103.0,0.0,513298.0,0.0,-513298.0,-513298.0,COSTO MATERIALES
12,P-1677,2023,5,12.0,0.0,570000.0,0.0,-570000.0,-570000.0,COSTO MATERIALES
13,P-1680,2023,5,0.0,6108.0,0.0,11122532.0,11122532.0,11122532.0,COSTO MATERIALES
14,P-1682,2023,5,124.0,0.0,1001849.0,0.0,-1001849.0,-1001849.0,COSTO MATERIALES
15,P-1684,2023,5,0.0,246.0,0.0,1070541.0,1070541.0,1070541.0,COSTO MATERIALES
16,P-1686,2023,5,8.0,331.0,45824.0,2084407.0,2038583.0,2038583.0,COSTO MATERIALES
17,P-1688,2023,5,3.0,316.0,135337.0,217172.0,81835.0,81835.0,COSTO MATERIALES
18,P-1690,2023,5,0.0,235.0,0.0,98224.0,98224.0,98224.0,COSTO MATERIALES
19,P-1691,2023,5,8.0,14.0,194048.0,210200.0,16152.0,16152.0,COSTO MATERIALES
20,P-1692,2023,5,250.0,7060.0,360000.0,1837143.0,1477143.0,1477143.0,COSTO MATERIALES
21,P-1694,2023,5,0.0,8036.0,0.0,7641345.0,7641345.0,7641345.0,COSTO MATERIALES
22,P-1695,2023,5,15.0,8976.0,981954.0,9619052.0,8637098.0,8637098.0,COSTO MATERIALES
23,P-1696,2023,5,0.0,1.0,0.0,2304440.0,2304440.0,2304440.0,COSTO MATERIALES
24,P-1697,2023,5,0.0,263.0,0.0,2793616.0,2793616.0,2793616.0,COSTO MATERIALES
25,P-1699,2023,5,0.0,17026.0,0.0,8687386.0,8687386.0,8687386.0,COSTO MATERIALES
26,P-1700,2023,5,52.0,60.0,13104.0,38040.0,24936.0,24936.0,COSTO MATERIALES
27,P-1701,2023,5,37.0,0.0,175639.0,0.0,-175639.0,-175639.0,COSTO MATERIALES
28,P-1703,2023,5,0.0,318.0,0.0,200940.0,200940.0,200940.0,COSTO MATERIALES
29,P-1704,2023,5,0.0,2549.0,0.0,13398585.0,13398585.0,13398585.0,COSTO MATERIALES
30,P-1705,2023,5,55.0,4735.0,76065.0,5196251.0,5120186.0,5120186.0,COSTO MATERIALES
31,P-1706,2023,5,0.0,9311.0,0.0,5198516.0,5198516.0,5198516.0,COSTO MATERIALES
32,P-1707,2023,5,12.0,6235.0,257844.0,5892447.0,5634603.0,5634603.0,COSTO MATERIALES
33,P-1709,2023,5,0.0,12.0,0.0,2999784.0,2999784.0,2999784.0,COSTO MATERIALES
34,P-1712,2023,5,0.0,537.0,0.0,5124213.0,5124213.0,5124213.0,COSTO MATERIALES
35,P-1713,2023,5,0.0,3357.0,0.0,1088874.0,1088874.0,1088874.0,COSTO MATERIALES
36,P-1714,2023,5,0.0,4.0,0.0,234124.0,234124.0,234124.0,COSTO MATERIALES
37,P-1715,2023,5,0.0,1841.0,0.0,5836366.0,5836366.0,5836366.0,COSTO MATERIALES
38,P-1716,2023,5,0.0,896.0,0.0,1481523.0,1481523.0,1481523.0,COSTO MATERIALES
39,P-1718,2023,5,0.0,2655.0,0.0,3475005.0,3475005.0,3475005.0,COSTO MATERIALES
40,P-1721,2023,5,2.0,1309.0,144370.0,12547473.0,12403103.0,12403103.0,COSTO MATERIALES
41,P-1723,2023,5,18.0,62814.0,3285765.0,37324477.0,34038712.0,34038712.0,COSTO MATERIALES
42,P-1724,2023,5,0.0,4.0,0.0,26558.0,26558.0,26558.0,COSTO MATERIALES
43,P-1725,2023,5,0.0,8020.0,0.0,6708545.0,6708545.0,6708545.0,COSTO MATERIALES
44,P-1726,2023,5,0.0,2127.0,0.0,9232066.0,9232066.0,9232066.0,COSTO MATERIALES
45,P-1727,2023,5,0.0,4734.0,0.0,9901554.0,9901554.0,9901554.0,COSTO MATERIALES
46,TOTAL,2023,5,800.0,160715.0,8533707.0,174983604.0,166449897.0,166449897.0,COSTO MATERIALES
,CODIGO_PROYECTO,AÑO,MES,CANT. GDP,CANT. VCO,TOTAL. GDP,TOTAL. VCO,TOTAL. VCO - GDP,TOTAL,TIPO_CUENTA
0,P-1592,2023,5,1.0,0.0,51537.0,0.0,-51537.0,-51537.0,COSTO MATERIALES
1,P-1632,2023,5,15.0,0.0,75965.0,0.0,-75965.0,-75965.0,COSTO MATERIALES
2,P-1643,2023,5,0.0,2.0,0.0,330968.0,330968.0,330968.0,COSTO MATERIALES
3,P-1645,2023,5,2.0,0.0,19980.0,0.0,-19980.0,-19980.0,COSTO MATERIALES
4,P-1649,2023,5,1.0,0.0,36183.0,0.0,-36183.0,-36183.0,COSTO MATERIALES
5,P-1656,2023,5,3.0,0.0,11250.0,0.0,-11250.0,-11250.0,COSTO MATERIALES
6,P-1660,2023,5,1.0,0.0,6045.0,0.0,-6045.0,-6045.0,COSTO MATERIALES
7,P-1666,2023,5,0.0,3.0,0.0,89550.0,89550.0,89550.0,COSTO MATERIALES
8,P-1667,2023,5,0.0,513.0,0.0,90852.0,90852.0,90852.0,COSTO MATERIALES
9,P-1669,2023,5,7.0,0.0,245707.0,0.0,-245707.0,-245707.0,COSTO MATERIALES
10,P-1672,2023,5,71.0,67.0,331943.0,880835.0,548892.0,548892.0,COSTO MATERIALES
11,P-1676,2023,5,103.0,0.0,513298.0,0.0,-513298.0,-513298.0,COSTO MATERIALES
12,P-1677,2023,5,12.0,0.0,570000.0,0.0,-570000.0,-570000.0,COSTO MATERIALES
13,P-1680,2023,5,0.0,6108.0,0.0,11122532.0,11122532.0,11122532.0,COSTO MATERIALES
14,P-1682,2023,5,124.0,0.0,1001849.0,0.0,-1001849.0,-1001849.0,COSTO MATERIALES
15,P-1684,2023,5,0.0,246.0,0.0,1070541.0,1070541.0,1070541.0,COSTO MATERIALES
16,P-1686,2023,5,8.0,331.0,45824.0,2084407.0,2038583.0,2038583.0,COSTO MATERIALES
17,P-1688,2023,5,3.0,316.0,135337.0,217172.0,81835.0,81835.0,COSTO MATERIALES
18,P-1690,2023,5,0.0,235.0,0.0,98224.0,98224.0,98224.0,COSTO MATERIALES
19,P-1691,2023,5,8.0,14.0,194048.0,210200.0,16152.0,16152.0,COSTO MATERIALES
20,P-1692,2023,5,250.0,7060.0,360000.0,1837143.0,1477143.0,1477143.0,COSTO MATERIALES
21,P-1694,2023,5,0.0,8036.0,0.0,7641345.0,7641345.0,7641345.0,COSTO MATERIALES
22,P-1695,2023,5,15.0,8976.0,981954.0,9619052.0,8637098.0,8637098.0,COSTO MATERIALES
23,P-1696,2023,5,0.0,1.0,0.0,2304440.0,2304440.0,2304440.0,COSTO MATERIALES
24,P-1697,2023,5,0.0,263.0,0.0,2793616.0,2793616.0,2793616.0,COSTO MATERIALES
25,P-1699,2023,5,0.0,17026.0,0.0,8687386.0,8687386.0,8687386.0,COSTO MATERIALES
26,P-1700,2023,5,52.0,60.0,13104.0,38040.0,24936.0,24936.0,COSTO MATERIALES
27,P-1701,2023,5,37.0,0.0,175639.0,0.0,-175639.0,-175639.0,COSTO MATERIALES
28,P-1703,2023,5,0.0,318.0,0.0,200940.0,200940.0,200940.0,COSTO MATERIALES
29,P-1704,2023,5,0.0,2549.0,0.0,13398585.0,13398585.0,13398585.0,COSTO MATERIALES
30,P-1705,2023,5,55.0,4735.0,76065.0,5196251.0,5120186.0,5120186.0,COSTO MATERIALES
31,P-1706,2023,5,0.0,9311.0,0.0,5198516.0,5198516.0,5198516.0,COSTO MATERIALES
32,P-1707,2023,5,12.0,6235.0,257844.0,5892447.0,5634603.0,5634603.0,COSTO MATERIALES
33,P-1709,2023,5,0.0,12.0,0.0,2999784.0,2999784.0,2999784.0,COSTO MATERIALES
34,P-1712,2023,5,0.0,537.0,0.0,5124213.0,5124213.0,5124213.0,COSTO MATERIALES
35,P-1713,2023,5,0.0,3357.0,0.0,1088874.0,1088874.0,1088874.0,COSTO MATERIALES
36,P-1714,2023,5,0.0,4.0,0.0,234124.0,234124.0,234124.0,COSTO MATERIALES
37,P-1715,2023,5,0.0,1841.0,0.0,5836366.0,5836366.0,5836366.0,COSTO MATERIALES
38,P-1716,2023,5,0.0,896.0,0.0,1481523.0,1481523.0,1481523.0,COSTO MATERIALES
39,P-1718,2023,5,0.0,2655.0,0.0,3475005.0,3475005.0,3475005.0,COSTO MATERIALES
40,P-1721,2023,5,2.0,1309.0,144370.0,12547473.0,12403103.0,12403103.0,COSTO MATERIALES
41,P-1723,2023,5,18.0,62814.0,3285765.0,37324477.0,34038712.0,34038712.0,COSTO MATERIALES
42,P-1724,2023,5,0.0,4.0,0.0,26558.0,26558.0,26558.0,COSTO MATERIALES
43,P-1725,2023,5,0.0,8020.0,0.0,6708545.0,6708545.0,6708545.0,COSTO MATERIALES
44,P-1726,2023,5,0.0,2127.0,0.0,9232066.0,9232066.0,9232066.0,COSTO MATERIALES
45,P-1727,2023,5,0.0,4734.0,0.0,9901554.0,9901554.0,9901554.0,COSTO MATERIALES
46,TOTAL,2023,5,800.0,160715.0,8533707.0,174983604.0,166449897.0,166449897.0,COSTO MATERIALES
,CODIGO_PROYECTO,AÑO,MES,CANT. GDP,CANT. VCO,TOTAL. GDP,TOTAL. VCO,TOTAL. VCO - GDP,TOTAL,TIPO_CUENTA
0,P-1592,2023,5,1.0,0.0,51537.0,0.0,-51537.0,-51537.0,COSTO MATERIALES
1,P-1632,2023,5,15.0,0.0,75965.0,0.0,-75965.0,-75965.0,COSTO MATERIALES
2,P-1643,2023,5,0.0,2.0,0.0,330968.0,330968.0,330968.0,COSTO MATERIALES
3,P-1645,2023,5,2.0,0.0,19980.0,0.0,-19980.0,-19980.0,COSTO MATERIALES
4,P-1649,2023,5,1.0,0.0,36183.0,0.0,-36183.0,-36183.0,COSTO MATERIALES
5,P-1656,2023,5,3.0,0.0,11250.0,0.0,-11250.0,-11250.0,COSTO MATERIALES
6,P-1660,2023,5,1.0,0.0,6045.0,0.0,-6045.0,-6045.0,COSTO MATERIALES
7,P-1666,2023,5,0.0,3.0,0.0,89550.0,89550.0,89550.0,COSTO MATERIALES
8,P-1667,2023,5,0.0,513.0,0.0,90852.0,90852.0,90852.0,COSTO MATERIALES
9,P-1669,2023,5,7.0,0.0,245707.0,0.0,-245707.0,-245707.0,COSTO MATERIALES
10,P-1672,2023,5,71.0,67.0,331943.0,880835.0,548892.0,548892.0,COSTO MATERIALES
11,P-1676,2023,5,103.0,0.0,513298.0,0.0,-513298.0,-513298.0,COSTO MATERIALES
12,P-1677,2023,5,12.0,0.0,570000.0,0.0,-570000.0,-570000.0,COSTO MATERIALES
13,P-1680,2023,5,0.0,6108.0,0.0,11122532.0,11122532.0,11122532.0,COSTO MATERIALES
14,P-1682,2023,5,124.0,0.0,1001849.0,0.0,-1001849.0,-1001849.0,COSTO MATERIALES
15,P-1684,2023,5,0.0,246.0,0.0,1070541.0,1070541.0,1070541.0,COSTO MATERIALES
16,P-1686,2023,5,8.0,331.0,45824.0,2084407.0,2038583.0,2038583.0,COSTO MATERIALES
17,P-1688,2023,5,3.0,316.0,135337.0,217172.0,81835.0,81835.0,COSTO MATERIALES
18,P-1690,2023,5,0.0,235.0,0.0,98224.0,98224.0,98224.0,COSTO MATERIALES
19,P-1691,2023,5,8.0,14.0,194048.0,210200.0,16152.0,16152.0,COSTO MATERIALES
20,P-1692,2023,5,250.0,7060.0,360000.0,1837143.0,1477143.0,1477143.0,COSTO MATERIALES
21,P-1694,2023,5,0.0,8036.0,0.0,7641345.0,7641345.0,7641345.0,COSTO MATERIALES
22,P-1695,2023,5,15.0,8976.0,981954.0,9619052.0,8637098.0,8637098.0,COSTO MATERIALES
23,P-1696,2023,5,0.0,1.0,0.0,2304440.0,2304440.0,2304440.0,COSTO MATERIALES
24,P-1697,2023,5,0.0,263.0,0.0,2793616.0,2793616.0,2793616.0,COSTO MATERIALES
25,P-1699,2023,5,0.0,17026.0,0.0,8687386.0,8687386.0,8687386.0,COSTO MATERIALES
26,P-1700,2023,5,52.0,60.0,13104.0,38040.0,24936.0,24936.0,COSTO MATERIALES
27,P-1701,2023,5,37.0,0.0,175639.0,0.0,-175639.0,-175639.0,COSTO MATERIALES
28,P-1703,2023,5,0.0,318.0,0.0,200940.0,200940.0,200940.0,COSTO MATERIALES
29,P-1704,2023,5,0.0,2549.0,0.0,13398585.0,13398585.0,13398585.0,COSTO MATERIALES
30,P-1705,2023,5,55.0,4735.0,76065.0,5196251.0,5120186.0,5120186.0,COSTO MATERIALES
31,P-1706,2023,5,0.0,9311.0,0.0,5198516.0,5198516.0,5198516.0,COSTO MATERIALES
32,P-1707,2023,5,12.0,6235.0,257844.0,5892447.0,5634603.0,5634603.0,COSTO MATERIALES
33,P-1709,2023,5,0.0,12.0,0.0,2999784.0,2999784.0,2999784.0,COSTO MATERIALES
34,P-1712,2023,5,0.0,537.0,0.0,5124213.0,5124213.0,5124213.0,COSTO MATERIALES
35,P-1713,2023,5,0.0,3357.0,0.0,1088874.0,1088874.0,1088874.0,COSTO MATERIALES
36,P-1714,2023,5,0.0,4.0,0.0,234124.0,234124.0,234124.0,COSTO MATERIALES
37,P-1715,2023,5,0.0,1841.0,0.0,5836366.0,5836366.0,5836366.0,COSTO MATERIALES
38,P-1716,2023,5,0.0,896.0,0.0,1481523.0,1481523.0,1481523.0,COSTO MATERIALES
39,P-1718,2023,5,0.0,2655.0,0.0,3475005.0,3475005.0,3475005.0,COSTO MATERIALES
40,P-1721,2023,5,2.0,1309.0,144370.0,12547473.0,12403103.0,12403103.0,COSTO MATERIALES
41,P-1723,2023,5,18.0,62814.0,3285765.0,37324477.0,34038712.0,34038712.0,COSTO MATERIALES
42,P-1724,2023,5,0.0,4.0,0.0,26558.0,26558.0,26558.0,COSTO MATERIALES
43,P-1725,2023,5,0.0,8020.0,0.0,6708545.0,6708545.0,6708545.0,COSTO MATERIALES
44,P-1726,2023,5,0.0,2127.0,0.0,9232066.0,9232066.0,9232066.0,COSTO MATERIALES
45,P-1727,2023,5,0.0,4734.0,0.0,9901554.0,9901554.0,9901554.0,COSTO MATERIALES
46,TOTAL,2023,5,800.0,160715.0,8533707.0,174983604.0,166449897.0,166449897.0,COSTO MATERIALES
,CODIGO_PROYECTO,AÑO,MES,CANT. GDP,CANT. VCO,TOTAL. GDP,TOTAL. VCO,TOTAL. VCO - GDP,TOTAL,TIPO_CUENTA
0,P-1592,2023,5,1.0,0.0,51537.0,0.0,-51537.0,-51537.0,COSTO MATERIALES
1,P-1632,2023,5,15.0,0.0,75965.0,0.0,-75965.0,-75965.0,COSTO MATERIALES
2,P-1643,2023,5,0.0,2.0,0.0,330968.0,330968.0,330968.0,COSTO MATERIALES
3,P-1645,2023,5,2.0,0.0,19980.0,0.0,-19980.0,-19980.0,COSTO MATERIALES
4,P-1649,2023,5,1.0,0.0,36183.0,0.0,-36183.0,-36183.0,COSTO MATERIALES
5,P-1656,2023,5,3.0,0.0,11250.0,0.0,-11250.0,-11250.0,COSTO MATERIALES
6,P-1660,2023,5,1.0,0.0,6045.0,0.0,-6045.0,-6045.0,COSTO MATERIALES
7,P-1666,2023,5,0.0,3.0,0.0,89550.0,89550.0,89550.0,COSTO MATERIALES
8,P-1667,2023,5,0.0,513.0,0.0,90852.0,90852.0,90852.0,COSTO MATERIALES
9,P-1669,2023,5,7.0,0.0,245707.0,0.0,-245707.0,-245707.0,COSTO MATERIALES
10,P-1672,2023,5,71.0,67.0,331943.0,880835.0,548892.0,548892.0,COSTO MATERIALES
11,P-1676,2023,5,103.0,0.0,513298.0,0.0,-513298.0,-513298.0,COSTO MATERIALES
12,P-1677,2023,5,12.0,0.0,570000.0,0.0,-570000.0,-570000.0,COSTO MATERIALES
13,P-1680,2023,5,0.0,6108.0,0.0,11122532.0,11122532.0,11122532.0,COSTO MATERIALES
14,P-1682,2023,5,124.0,0.0,1001849.0,0.0,-1001849.0,-1001849.0,COSTO MATERIALES
15,P-1684,2023,5,0.0,246.0,0.0,1070541.0,1070541.0,1070541.0,COSTO MATERIALES
16,P-1686,2023,5,8.0,331.0,45824.0,2084407.0,2038583.0,2038583.0,COSTO MATERIALES
17,P-1688,2023,5,3.0,316.0,135337.0,217172.0,81835.0,81835.0,COSTO MATERIALES
18,P-1690,2023,5,0.0,235.0,0.0,98224.0,98224.0,98224.0,COSTO MATERIALES
19,P-1691,2023,5,8.0,14.0,194048.0,210200.0,16152.0,16152.0,COSTO MATERIALES
20,P-1692,2023,5,250.0,7060.0,360000.0,1837143.0,1477143.0,1477143.0,COSTO MATERIALES
21,P-1694,2023,5,0.0,8036.0,0.0,7641345.0,7641345.0,7641345.0,COSTO MATERIALES
22,P-1695,2023,5,15.0,8976.0,981954.0,9619052.0,8637098.0,8637098.0,COSTO MATERIALES
23,P-1696,2023,5,0.0,1.0,0.0,2304440.0,2304440.0,2304440.0,COSTO MATERIALES
24,P-1697,2023,5,0.0,263.0,0.0,2793616.0,2793616.0,2793616.0,COSTO MATERIALES
25,P-1699,2023,5,0.0,17026.0,0.0,8687386.0,8687386.0,8687386.0,COSTO MATERIALES
26,P-1700,2023,5,52.0,60.0,13104.0,38040.0,24936.0,24936.0,COSTO MATERIALES
27,P-1701,2023,5,37.0,0.0,175639.0,0.0,-175639.0,-175639.0,COSTO MATERIALES
28,P-1703,2023,5,0.0,318.0,0.0,200940.0,200940.0,200940.0,COSTO MATERIALES
29,P-1704,2023,5,0.0,2549.0,0.0,13398585.0,13398585.0,13398585.0,COSTO MATERIALES
30,P-1705,2023,5,55.0,4735.0,76065.0,5196251.0,5120186.0,5120186.0,COSTO MATERIALES
31,P-1706,2023,5,0.0,9311.0,0.0,5198516.0,5198516.0,5198516.0,COSTO MATERIALES
32,P-1707,2023,5,12.0,6235.0,257844.0,5892447.0,5634603.0,5634603.0,COSTO MATERIALES
33,P-1709,2023,5,0.0,12.0,0.0,2999784.0,2999784.0,2999784.0,COSTO MATERIALES
34,P-1712,2023,5,0.0,537.0,0.0,5124213.0,5124213.0,5124213.0,COSTO MATERIALES
35,P-1713,2023,5,0.0,3357.0,0.0,1088874.0,1088874.0,1088874.0,COSTO MATERIALES
36,P-1714,2023,5,0.0,4.0,0.0,234124.0,234124.0,234124.0,COSTO MATERIALES
37,P-1715,2023,5,0.0,1841.0,0.0,5836366.0,5836366.0,5836366.0,COSTO MATERIALES
38,P-1716,2023,5,0.0,896.0,0.0,1481523.0,1481523.0,1481523.0,COSTO MATERIALES
39,P-1718,2023,5,0.0,2655.0,0.0,3475005.0,3475005.0,3475005.0,COSTO MATERIALES
40,P-1721,2023,5,2.0,1309.0,144370.0,12547473.0,12403103.0,12403103.0,COSTO MATERIALES
41,P-1723,2023,5,18.0,62814.0,3285765.0,37324477.0,34038712.0,34038712.0,COSTO MATERIALES
42,P-1724,2023,5,0.0,4.0,0.0,26558.0,26558.0,26558.0,COSTO MATERIALES
43,P-1725,2023,5,0.0,8020.0,0.0,6708545.0,6708545.0,6708545.0,COSTO MATERIALES
44,P-1726,2023,5,0.0,2127.0,0.0,9232066.0,9232066.0,9232066.0,COSTO MATERIALES
45,P-1727,2023,5,0.0,4734.0,0.0,9901554.0,9901554.0,9901554.0,COSTO MATERIALES
46,TOTAL,2023,5,800.0,160715.0,8533707.0,174983604.0,166449897.0,166449897.0,COSTO MATERIALES
,CODIGO_PROYECTO,AÑO,MES,CANT. GDP,CANT. VCO,TOTAL. GDP,TOTAL. VCO,TOTAL. VCO - GDP,TOTAL,TIPO_CUENTA
0,P-1592,2023,5,1.0,0.0,51537.0,0.0,-51537.0,-51537.0,COSTO MATERIALES
1,P-1632,2023,5,15.0,0.0,75965.0,0.0,-75965.0,-75965.0,COSTO MATERIALES
2,P-1643,2023,5,0.0,2.0,0.0,330968.0,330968.0,330968.0,COSTO MATERIALES
3,P-1645,2023,5,2.0,0.0,19980.0,0.0,-19980.0,-19980.0,COSTO MATERIALES
4,P-1649,2023,5,1.0,0.0,36183.0,0.0,-36183.0,-36183.0,COSTO MATERIALES
5,P-1656,2023,5,3.0,0.0,11250.0,0.0,-11250.0,-11250.0,COSTO MATERIALES
6,P-1660,2023,5,1.0,0.0,6045.0,0.0,-6045.0,-6045.0,COSTO MATERIALES
7,P-1666,2023,5,0.0,3.0,0.0,89550.0,89550.0,89550.0,COSTO MATERIALES
8,P-1667,2023,5,0.0,513.0,0.0,90852.0,90852.0,90852.0,COSTO MATERIALES
9,P-1669,2023,5,7.0,0.0,245707.0,0.0,-245707.0,-245707.0,COSTO MATERIALES
10,P-1672,2023,5,71.0,67.0,331943.0,880835.0,548892.0,548892.0,COSTO MATERIALES
11,P-1676,2023,5,103.0,0.0,513298.0,0.0,-513298.0,-513298.0,COSTO MATERIALES
12,P-1677,2023,5,12.0,0.0,570000.0,0.0,-570000.0,-570000.0,COSTO MATERIALES
13,P-1680,2023,5,0.0,6108.0,0.0,11122532.0,11122532.0,11122532.0,COSTO MATERIALES
14,P-1682,2023,5,124.0,0.0,1001849.0,0.0,-1001849.0,-1001849.0,COSTO MATERIALES
15,P-1684,2023,5,0.0,246.0,0.0,1070541.0,1070541.0,1070541.0,COSTO MATERIALES
16,P-1686,2023,5,8.0,331.0,45824.0,2084407.0,2038583.0,2038583.0,COSTO MATERIALES
17,P-1688,2023,5,3.0,316.0,135337.0,217172.0,81835.0,81835.0,COSTO MATERIALES
18,P-1690,2023,5,0.0,235.0,0.0,98224.0,98224.0,98224.0,COSTO MATERIALES
19,P-1691,2023,5,8.0,14.0,194048.0,210200.0,16152.0,16152.0,COSTO MATERIALES
20,P-1692,2023,5,250.0,7060.0,360000.0,1837143.0,1477143.0,1477143.0,COSTO MATERIALES
21,P-1694,2023,5,0.0,8036.0,0.0,7641345.0,7641345.0,7641345.0,COSTO MATERIALES
22,P-1695,2023,5,15.0,8976.0,981954.0,9619052.0,8637098.0,8637098.0,COSTO MATERIALES
23,P-1696,2023,5,0.0,1.0,0.0,2304440.0,2304440.0,2304440.0,COSTO MATERIALES
24,P-1697,2023,5,0.0,263.0,0.0,2793616.0,2793616.0,2793616.0,COSTO MATERIALES
25,P-1699,2023,5,0.0,17026.0,0.0,8687386.0,8687386.0,8687386.0,COSTO MATERIALES
26,P-1700,2023,5,52.0,60.0,13104.0,38040.0,24936.0,24936.0,COSTO MATERIALES
27,P-1701,2023,5,37.0,0.0,175639.0,0.0,-175639.0,-175639.0,COSTO MATERIALES
28,P-1703,2023,5,0.0,318.0,0.0,200940.0,200940.0,200940.0,COSTO MATERIALES
29,P-1704,2023,5,0.0,2549.0,0.0,13398585.0,13398585.0,13398585.0,COSTO MATERIALES
30,P-1705,2023,5,55.0,4735.0,76065.0,5196251.0,5120186.0,5120186.0,COSTO MATERIALES
31,P-1706,2023,5,0.0,9311.0,0.0,5198516.0,5198516.0,5198516.0,COSTO MATERIALES
32,P-1707,2023,5,12.0,6235.0,257844.0,5892447.0,5634603.0,5634603.0,COSTO MATERIALES
33,P-1709,2023,5,0.0,12.0,0.0,2999784.0,2999784.0,2999784.0,COSTO MATERIALES
34,P-1712,2023,5,0.0,537.0,0.0,5124213.0,5124213.0,5124213.0,COSTO MATERIALES
35,P-1713,2023,5,0.0,3357.0,0.0,1088874.0,1088874.0,1088874.0,COSTO MATERIALES
36,P-1714,2023,5,0.0,4.0,0.0,234124.0,234124.0,234124.0,COSTO MATERIALES
37,P-1715,2023,5,0.0,1841.0,0.0,5836366.0,5836366.0,5836366.0,COSTO MATERIALES
38,P-1716,2023,5,0.0,896.0,0.0,1481523.0,1481523.0,1481523.0,COSTO MATERIALES
39,P-1718,2023,5,0.0,2655.0,0.0,3475005.0,3475005.0,3475005.0,COSTO MATERIALES
40,P-1721,2023,5,2.0,1309.0,144370.0,12547473.0,12403103.0,12403103.0,COSTO MATERIALES
41,P-1723,2023,5,18.0,62814.0,3285765.0,37324477.0,34038712.0,34038712.0,COSTO MATERIALES
42,P-1724,2023,5,0.0,4.0,0.0,26558.0,26558.0,26558.0,COSTO MATERIALES
43,P-1725,2023,5,0.0,8020.0,0.0,6708545.0,6708545.0,6708545.0,COSTO MATERIALES
44,P-1726,2023,5,0.0,2127.0,0.0,9232066.0,9232066.0,9232066.0,COSTO MATERIALES
45,P-1727,2023,5,0.0,4734.0,0.0,9901554.0,9901554.0,9901554.0,COSTO MATERIALES
46,TOTAL,2023,5,800.0,160715.0,8533707.0,174983604.0,166449897.0,166449897.0,COSTO MATERIALES
,CODIGO_PROYECTO,AÑO,MES,CANT. GDP,CANT. VCO,TOTAL. GDP,TOTAL. VCO,TOTAL. VCO - GDP,TOTAL,TIPO_CUENTA
0,P-1592,2023,5,1.0,0.0,51537.0,0.0,-51537.0,-51537.0,COSTO MATERIALES
1,P-1632,2023,5,15.0,0.0,75965.0,0.0,-75965.0,-75965.0,COSTO MATERIALES
2,P-1643,2023,5,0.0,2.0,0.0,330968.0,330968.0,330968.0,COSTO MATERIALES
3,P-1645,2023,5,2.0,0.0,19980.0,0.0,-19980.0,-19980.0,COSTO MATERIALES
4,P-1649,2023,5,1.0,0.0,36183.0,0.0,-36183.0,-36183.0,COSTO MATERIALES
5,P-1656,2023,5,3.0,0.0,11250.0,0.0,-11250.0,-11250.0,COSTO MATERIALES
6,P-1660,2023,5,1.0,0.0,6045.0,0.0,-6045.0,-6045.0,COSTO MATERIALES
7,P-1666,2023,5,0.0,3.0,0.0,89550.0,89550.0,89550.0,COSTO MATERIALES
8,P-1667,2023,5,0.0,513.0,0.0,90852.0,90852.0,90852.0,COSTO MATERIALES
9,P-1669,2023,5,7.0,0.0,245707.0,0.0,-245707.0,-245707.0,COSTO MATERIALES
10,P-1672,2023,5,71.0,67.0,331943.0,880835.0,548892.0,548892.0,COSTO MATERIALES
11,P-1676,2023,5,103.0,0.0,513298.0,0.0,-513298.0,-513298.0,COSTO MATERIALES
12,P-1677,2023,5,12.0,0.0,570000.0,0.0,-570000.0,-570000.0,COSTO MATERIALES
13,P-1680,2023,5,0.0,6108.0,0.0,11122532.0,11122532.0,11122532.0,COSTO MATERIALES
14,P-1682,2023,5,124.0,0.0,1001849.0,0.0,-1001849.0,-1001849.0,COSTO MATERIALES
15,P-1684,2023,5,0.0,246.0,0.0,1070541.0,1070541.0,1070541.0,COSTO MATERIALES
16,P-1686,2023,5,8.0,331.0,45824.0,2084407.0,2038583.0,2038583.0,COSTO MATERIALES
